"phenophase_id","phenophase_name","category","class_id","class_name","class_description","sequence","pheno_group"
296,"Mating ","Reproduction",82,"Mating","",210,"Live observation"
330,"Mating ","Reproduction",82,"Mating","",210,"Live observation"
341,"Mating","Reproduction",82,"Mating","",210,"Live observation"
350,"Mating ","Reproduction",82,"Mating","",210,"Live observation"
363,"Mating ","Reproduction",82,"Mating","",210,"Live observation"
549,"Mating ","Reproduction",82,"Mating","",210,"Live observation"
339,"Male combat ","Reproduction",85,"Male combat","",240,"Live observation"
456,"Male combat ","Reproduction",85,"Male combat","",240,"Live observation"
297,"Nest building ","Reproduction",86,"Nest building","",250,"Live observation"
442,"Nest building ","Reproduction",86,"Nest building","",250,"Live observation"
517,"Nest building ","Reproduction",86,"Nest building","",250,"Live observation"
518,"Nest building ","Reproduction",86,"Nest building","",250,"Live observation"
362,"Nesting ","Reproduction",87,"Nesting","",260,"Live observation"
281,"Fresh eggs ","Reproduction",90,"Eggs","",290,"Live observation"
521,"Eggs ","Reproduction",90,"Eggs","",290,"Live observation"
524,"Eggs","Reproduction",90,"Eggs","",290,"Live observation"
531,"Eggs ","Reproduction",90,"Eggs","",290,"Live observation"
529,"Recent egg laying ","Reproduction",91,"Recent egg laying","",300,"Live observation"
519,"Drone cells","Reproduction",93,"Drone cells","",320,"Live observation"
298,"Occupied nest","Reproduction",94,"Occupied nest","",330,"Live observation"
520,"Nest provisioning ","Reproduction",95,"Nest provisioning","",340,"Live observation"
527,"Nest provisioning ","Reproduction",95,"Nest provisioning","",340,"Live observation"
331,"Egg laying ","Reproduction",136,"Egg laying","",285,"Live observation"
349,"Egg laying ","Reproduction",136,"Egg laying","",285,"Live observation"
547,"Egg laying","Reproduction",136,"Egg laying","",285,"Live observation"
548,"Egg laying ","Reproduction",136,"Egg laying","",285,"Live observation"
392,"Unripe seed cones","Seed cones",11,"Unripe fruits or seed cones","Presence of immature fruiting structures",110,"Fruits"
393,"Ripe seed cones","Seed cones",12,"Ripe fruits or seed cones","Presence of mature fruiting structures",120,"Ripe fruits"
491,"Recent cone or seed drop","Seed cones",13,"Recent fruit, cone or seed drop","Dropping of mature fruits, cones or seeds",130,"Ripe fruits"
